"年月","指数类别","组别类别","基数年","指数","权数"
"201506","CCPI","1","Index : October 2014 - September 2015 = 100",99.9,0.4
"201506","CCPI","2","Index : October 2014 - September 2015 = 100",101.9,0.55
"201506","CCPI","3","Index : October 2014 - September 2015 = 100",101.1,1.76
"201506","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201506","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201506","CCPI","6","Index : October 2014 - September 2015 = 100",98.6,0.41
"201506","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201506","CCPI","8","Index : October 2014 - September 2015 = 100",101.9,1.46
"201506","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201506","CCPI","10","Index : October 2014 - September 2015 = 100",99.7,0.24
"201506","CCPI","11","Index : October 2014 - September 2015 = 100",95.2,1.48
"201506","CCPI","12","Index : October 2014 - September 2015 = 100",99.8,7.98
"201506","CCPI","99","Index : October 2014 - September 2015 = 100",99.8,100
"201507","CCPI","1","Index : October 2014 - September 2015 = 100",99.8,0.4
"201507","CCPI","2","Index : October 2014 - September 2015 = 100",100.1,0.55
"201507","CCPI","3","Index : October 2014 - September 2015 = 100",101.3,1.76
"201507","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201507","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201507","CCPI","6","Index : October 2014 - September 2015 = 100",97.6,0.41
"201507","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201507","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201507","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201507","CCPI","10","Index : October 2014 - September 2015 = 100",99.9,0.24
"201507","CCPI","11","Index : October 2014 - September 2015 = 100",99.8,1.48
"201507","CCPI","12","Index : October 2014 - September 2015 = 100",100.7,7.98
"201507","CCPI","99","Index : October 2014 - September 2015 = 100",100.3,100
"201508","CCPI","1","Index : October 2014 - September 2015 = 100",100,0.4
"201508","CCPI","2","Index : October 2014 - September 2015 = 100",98,0.55
"201508","CCPI","3","Index : October 2014 - September 2015 = 100",101.4,1.76
"201508","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201508","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201508","CCPI","6","Index : October 2014 - September 2015 = 100",97.8,0.41
"201508","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201508","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201508","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201508","CCPI","10","Index : October 2014 - September 2015 = 100",99.8,0.24
"201508","CCPI","11","Index : October 2014 - September 2015 = 100",100.6,1.48
"201508","CCPI","12","Index : October 2014 - September 2015 = 100",100.7,7.98
"201508","CCPI","99","Index : October 2014 - September 2015 = 100",98.6,100
"201509","CCPI","1","Index : October 2014 - September 2015 = 100",99.5,0.4
"201509","CCPI","2","Index : October 2014 - September 2015 = 100",97,0.55
"201509","CCPI","3","Index : October 2014 - September 2015 = 100",101.4,1.76
"201509","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201509","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201509","CCPI","6","Index : October 2014 - September 2015 = 100",97.8,0.41
"201509","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201509","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201509","CCPI","9","Index : October 2014 - September 2015 = 100",99.9,0.06
"201509","CCPI","10","Index : October 2014 - September 2015 = 100",103.6,0.24
"201509","CCPI","11","Index : October 2014 - September 2015 = 100",101.2,1.48
"201509","CCPI","12","Index : October 2014 - September 2015 = 100",100.9,7.98
"201509","CCPI","99","Index : October 2014 - September 2015 = 100",100.5,100
"201510","CCPI","99","Index : October 2014 - September 2015 = 100",102.1,100
"201510","CCPI","12","Index : October 2014 - September 2015 = 100",100.1,7.98
"201510","CCPI","11","Index : October 2014 - September 2015 = 100",97.4,1.48
"201510","CCPI","10","Index : October 2014 - September 2015 = 100",103.6,0.24
"201510","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201510","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201510","CCPI","1","Index : October 2014 - September 2015 = 100",99.5,0.4
"201510","CCPI","6","Index : October 2014 - September 2015 = 100",97.2,0.41
"201510","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201510","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201510","CCPI","3","Index : October 2014 - September 2015 = 100",101.4,1.76
"201510","CCPI","2","Index : October 2014 - September 2015 = 100",96.1,0.55
"201510","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201511","CCPI","12","Index : October 2014 - September 2015 = 100",100.1,7.98
"201511","CCPI","99","Index : October 2014 - September 2015 = 100",102.3,100
"201511","CCPI","11","Index : October 2014 - September 2015 = 100",97.2,1.48
"201511","CCPI","10","Index : October 2014 - September 2015 = 100",103.6,0.24
"201511","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201511","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201511","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201511","CCPI","6","Index : October 2014 - September 2015 = 100",97.5,0.41
"201511","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201511","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201511","CCPI","3","Index : October 2014 - September 2015 = 100",101.5,1.76
"201511","CCPI","2","Index : October 2014 - September 2015 = 100",94.9,0.55
"201511","CCPI","1","Index : October 2014 - September 2015 = 100",101.1,0.4
"201512","CCPI","1","Index : October 2014 - September 2015 = 100",99.6,0.4
"201512","CCPI","2","Index : October 2014 - September 2015 = 100",94,0.55
"201512","CCPI","3","Index : October 2014 - September 2015 = 100",101.8,1.76
"201512","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201512","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201512","CCPI","6","Index : October 2014 - September 2015 = 100",97.6,0.41
"201512","CCPI","99","Index : October 2014 - September 2015 = 100",102.6,100
"201512","CCPI","8","Index : October 2014 - September 2015 = 100",102.8,1.46
"201512","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201512","CCPI","10","Index : October 2014 - September 2015 = 100",103.7,0.24
"201512","CCPI","11","Index : October 2014 - September 2015 = 100",99.9,1.48
"201512","CCPI","12","Index : October 2014 - September 2015 = 100",100.5,7.98
"201512","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201601","CCPI","1","Index : October 2014 - September 2015 = 100",99.8,0.4
"201601","CCPI","2","Index : October 2014 - September 2015 = 100",92.4,0.55
"201601","CCPI","3","Index : October 2014 - September 2015 = 100",102.3,1.76
"201601","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201601","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201601","CCPI","6","Index : October 2014 - September 2015 = 100",97.6,0.41
"201601","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201601","CCPI","8","Index : October 2014 - September 2015 = 100",104.9,1.46
"201601","CCPI","9","Index : October 2014 - September 2015 = 100",99.8,0.06
"201601","CCPI","10","Index : October 2014 - September 2015 = 100",103.7,0.24
"201601","CCPI","11","Index : October 2014 - September 2015 = 100",98.2,1.48
"201601","CCPI","12","Index : October 2014 - September 2015 = 100",100.6,7.98
"201601","CCPI","99","Index : October 2014 - September 2015 = 100",102.5,100
"201602","CCPI","1","Index : October 2014 - September 2015 = 100",99.7,0.4
"201602","CCPI","2","Index : October 2014 - September 2015 = 100",90.9,0.55
"201602","CCPI","3","Index : October 2014 - September 2015 = 100",102.8,1.76
"201602","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201602","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201602","CCPI","6","Index : October 2014 - September 2015 = 100",97.7,0.41
"201602","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201602","CCPI","8","Index : October 2014 - September 2015 = 100",102.7,1.46
"201602","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201602","CCPI","10","Index : October 2014 - September 2015 = 100",103.7,0.24
"201602","CCPI","11","Index : October 2014 - September 2015 = 100",98.6,1.48
"201602","CCPI","12","Index : October 2014 - September 2015 = 100",100.3,7.98
"201602","CCPI","99","Index : October 2014 - September 2015 = 100",103.8,100
"201603","CCPI","1","Index : October 2014 - September 2015 = 100",100.8,0.4
"201603","CCPI","2","Index : October 2014 - September 2015 = 100",91.5,0.55
"201603","CCPI","3","Index : October 2014 - September 2015 = 100",102.8,1.76
"201603","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201603","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201603","CCPI","6","Index : October 2014 - September 2015 = 100",97.6,0.41
"201603","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201603","CCPI","8","Index : October 2014 - September 2015 = 100",102.8,1.46
"201603","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201603","CCPI","10","Index : October 2014 - September 2015 = 100",103.7,0.24
"201603","CCPI","11","Index : October 2014 - September 2015 = 100",97.3,1.48
"201603","CCPI","12","Index : October 2014 - September 2015 = 100",100.2,7.98
"201603","CCPI","99","Index : October 2014 - September 2015 = 100",103.4,100
"201604","CCPI","6","Index : October 2014 - September 2015 = 100",97.9,0.41
"201604","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201604","CCPI","8","Index : October 2014 - September 2015 = 100",104.9,1.46
"201604","CCPI","9","Index : October 2014 - September 2015 = 100",100,0.06
"201604","CCPI","10","Index : October 2014 - September 2015 = 100",103.6,0.24
"201604","CCPI","11","Index : October 2014 - September 2015 = 100",97.8,1.48
"201604","CCPI","12","Index : October 2014 - September 2015 = 100",100.8,7.98
"201604","CCPI","99","Index : October 2014 - September 2015 = 100",102.4,100
"201604","CCPI","1","Index : October 2014 - September 2015 = 100",100.5,0.4
"201604","CCPI","2","Index : October 2014 - September 2015 = 100",92.4,0.55
"201604","CCPI","3","Index : October 2014 - September 2015 = 100",103.1,1.76
"201604","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201604","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201605","CCPI","1","Index : October 2014 - September 2015 = 100",100.8,0.4
"201605","CCPI","2","Index : October 2014 - September 2015 = 100",94.6,0.55
"201605","CCPI","3","Index : October 2014 - September 2015 = 100",103.3,1.76
"201605","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201605","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201605","CCPI","6","Index : October 2014 - September 2015 = 100",97.5,0.41
"201605","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201605","CCPI","8","Index : October 2014 - September 2015 = 100",104.9,1.46
"201605","CCPI","9","Index : October 2014 - September 2015 = 100",100.1,0.06
"201605","CCPI","10","Index : October 2014 - September 2015 = 100",103.8,0.24
"201605","CCPI","11","Index : October 2014 - September 2015 = 100",98.7,1.48
"201605","CCPI","12","Index : October 2014 - September 2015 = 100",101.1,7.98
"201605","CCPI","99","Index : October 2014 - September 2015 = 100",102.3,100
"201606","CCPI","1","Index : October 2014 - September 2015 = 100",100.7,0.4
"201606","CCPI","2","Index : October 2014 - September 2015 = 100",95.3,0.55
"201606","CCPI","3","Index : October 2014 - September 2015 = 100",103.4,1.76
"201606","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201606","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201606","CCPI","6","Index : October 2014 - September 2015 = 100",97.6,0.41
"201606","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201606","CCPI","8","Index : October 2014 - September 2015 = 100",105.4,1.46
"201606","CCPI","9","Index : October 2014 - September 2015 = 100",100.2,0.06
"201606","CCPI","10","Index : October 2014 - September 2015 = 100",103.8,0.24
"201606","CCPI","11","Index : October 2014 - September 2015 = 100",98,1.48
"201606","CCPI","12","Index : October 2014 - September 2015 = 100",101.2,7.98
"201606","CCPI","99","Index : October 2014 - September 2015 = 100",102.3,100
"201607","CCPI","6","Index : October 2014 - September 2015 = 100",97.8,0.41
"201607","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201607","CCPI","8","Index : October 2014 - September 2015 = 100",104,1.46
"201607","CCPI","9","Index : October 2014 - September 2015 = 100",94.8,0.06
"201607","CCPI","10","Index : October 2014 - September 2015 = 100",103.8,0.24
"201607","CCPI","11","Index : October 2014 - September 2015 = 100",100.7,1.48
"201607","CCPI","12","Index : October 2014 - September 2015 = 100",101.3,7.98
"201607","CCPI","99","Index : October 2014 - September 2015 = 100",102.7,100
"201607","CCPI","1","Index : October 2014 - September 2015 = 100",100.1,0.4
"201607","CCPI","2","Index : October 2014 - September 2015 = 100",93.7,0.55
"201607","CCPI","3","Index : October 2014 - September 2015 = 100",103.7,1.76
"201607","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201607","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201608","CCPI","1","Index : October 2014 - September 2015 = 100",103,0.4
"201608","CCPI","2","Index : October 2014 - September 2015 = 100",92.9,0.55
"201608","CCPI","99","Index : October 2014 - September 2015 = 100",102.8,100
"201608","CCPI","12","Index : October 2014 - September 2015 = 100",102.7,7.98
"201608","CCPI","11","Index : October 2014 - September 2015 = 100",108,1.48
"201608","CCPI","10","Index : October 2014 - September 2015 = 100",103.8,0.24
"201608","CCPI","9","Index : October 2014 - September 2015 = 100",94.8,0.06
"201608","CCPI","8","Index : October 2014 - September 2015 = 100",104,1.46
"201608","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201608","CCPI","6","Index : October 2014 - September 2015 = 100",97.9,0.41
"201608","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201608","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201608","CCPI","3","Index : October 2014 - September 2015 = 100",103.7,1.76
"201609","CCPI","1","Index : October 2014 - September 2015 = 100",103.2,0.4
"201609","CCPI","12","Index : October 2014 - September 2015 = 100",102.6,7.98
"201609","CCPI","11","Index : October 2014 - September 2015 = 100",104.7,1.48
"201609","CCPI","10","Index : October 2014 - September 2015 = 100",110.5,0.24
"201609","CCPI","9","Index : October 2014 - September 2015 = 100",94.8,0.06
"201609","CCPI","8","Index : October 2014 - September 2015 = 100",104.3,1.46
"201609","CCPI","99","Index : October 2014 - September 2015 = 100",103.1,100
"201609","CCPI","6","Index : October 2014 - September 2015 = 100",97.9,0.41
"201609","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201609","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201609","CCPI","3","Index : October 2014 - September 2015 = 100",103.8,1.76
"201609","CCPI","2","Index : October 2014 - September 2015 = 100",95.3,0.55
"201609","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201610","CCPI","12","Index : October 2014 - September 2015 = 100",102.5,7.98
"201610","CCPI","99","Index : October 2014 - September 2015 = 100",103.3,100
"201610","CCPI","1","Index : October 2014 - September 2015 = 100",103.2,0.4
"201610","CCPI","2","Index : October 2014 - September 2015 = 100",96.6,0.55
"201610","CCPI","3","Index : October 2014 - September 2015 = 100",104.2,1.76
"201610","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201610","CCPI","11","Index : October 2014 - September 2015 = 100",103,1.48
"201610","CCPI","6","Index : October 2014 - September 2015 = 100",98.1,0.41
"201610","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201610","CCPI","8","Index : October 2014 - September 2015 = 100",104.3,1.46
"201610","CCPI","9","Index : October 2014 - September 2015 = 100",94.8,0.06
"201610","CCPI","10","Index : October 2014 - September 2015 = 100",110.5,0.24
"201610","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201611","CCPI","5","Index : October 2014 - September 2015 = 100",97,0.01
"201611","CCPI","4","Index : October 2014 - September 2015 = 100",98.4,1.18
"201611","CCPI","99","Index : October 2014 - September 2015 = 100",103.6,100
"201611","CCPI","12","Index : October 2014 - September 2015 = 100",101.9,7.98
"201611","CCPI","11","Index : October 2014 - September 2015 = 100",100.1,1.48
"201611","CCPI","10","Index : October 2014 - September 2015 = 100",110.5,0.24
"201611","CCPI","9","Index : October 2014 - September 2015 = 100",94.5,0.06
"201611","CCPI","8","Index : October 2014 - September 2015 = 100",106.2,1.46
"201611","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201611","CCPI","6","Index : October 2014 - September 2015 = 100",98.3,0.41
"201611","CCPI","1","Index : October 2014 - September 2015 = 100",103,0.4
"201611","CCPI","2","Index : October 2014 - September 2015 = 100",95.6,0.55
"201611","CCPI","3","Index : October 2014 - September 2015 = 100",104.1,1.76
"201612","CCPI","12","Index : October 2014 - September 2015 = 100",102.5,7.98
"201612","CCPI","11","Index : October 2014 - September 2015 = 100",103,1.48
"201612","CCPI","10","Index : October 2014 - September 2015 = 100",110.6,0.24
"201612","CCPI","9","Index : October 2014 - September 2015 = 100",94.8,0.06
"201612","CCPI","8","Index : October 2014 - September 2015 = 100",106.2,1.46
"201612","CCPI","7","Index : October 2014 - September 2015 = 100",100.1,0.43
"201612","CCPI","99","Index : October 2014 - September 2015 = 100",103.8,100
"201612","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201612","CCPI","4","Index : October 2014 - September 2015 = 100",98.1,1.18
"201612","CCPI","3","Index : October 2014 - September 2015 = 100",103.9,1.76
"201612","CCPI","2","Index : October 2014 - September 2015 = 100",97.5,0.55
"201612","CCPI","1","Index : October 2014 - September 2015 = 100",103.1,0.4
"201612","CCPI","6","Index : October 2014 - September 2015 = 100",98.6,0.41
"201701","CCPI","6","Index : October 2014 - September 2015 = 100",98.7,0.41
"201701","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201701","CCPI","4","Index : October 2014 - September 2015 = 100",98.2,1.18
"201701","CCPI","3","Index : October 2014 - September 2015 = 100",104.7,1.76
"201701","CCPI","2","Index : October 2014 - September 2015 = 100",98.2,0.55
"201701","CCPI","1","Index : October 2014 - September 2015 = 100",103.4,0.4
"201701","CCPI","99","Index : October 2014 - September 2015 = 100",103.8,100
"201701","CCPI","8","Index : October 2014 - September 2015 = 100",106.1,1.46
"201701","CCPI","9","Index : October 2014 - September 2015 = 100",96.7,0.06
"201701","CCPI","10","Index : October 2014 - September 2015 = 100",110.6,0.24
"201701","CCPI","11","Index : October 2014 - September 2015 = 100",104.7,1.48
"201701","CCPI","12","Index : October 2014 - September 2015 = 100",103.1,7.98
"201701","CCPI","7","Index : October 2014 - September 2015 = 100",100.3,0.43
"201702","CCPI","6","Index : October 2014 - September 2015 = 100",98.8,0.41
"201702","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201702","CCPI","4","Index : October 2014 - September 2015 = 100",100.5,1.18
"201702","CCPI","3","Index : October 2014 - September 2015 = 100",105.6,1.76
"201702","CCPI","2","Index : October 2014 - September 2015 = 100",99.3,0.55
"201702","CCPI","1","Index : October 2014 - September 2015 = 100",103.2,0.4
"201702","CCPI","7","Index : October 2014 - September 2015 = 100",100.3,0.43
"201702","CCPI","99","Index : October 2014 - September 2015 = 100",103.7,100
"201702","CCPI","12","Index : October 2014 - September 2015 = 100",103.3,7.98
"201702","CCPI","11","Index : October 2014 - September 2015 = 100",102.9,1.48
"201702","CCPI","10","Index : October 2014 - September 2015 = 100",110.6,0.24
"201702","CCPI","9","Index : October 2014 - September 2015 = 100",96.7,0.06
"201702","CCPI","8","Index : October 2014 - September 2015 = 100",106.2,1.46
"201703","CCPI","1","Index : October 2014 - September 2015 = 100",105.3,0.4
"201703","CCPI","2","Index : October 2014 - September 2015 = 100",98.1,0.55
"201703","CCPI","3","Index : October 2014 - September 2015 = 100",105.9,1.76
"201703","CCPI","4","Index : October 2014 - September 2015 = 100",100.4,1.18
"201703","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201703","CCPI","6","Index : October 2014 - September 2015 = 100",98.1,0.41
"201703","CCPI","99","Index : October 2014 - September 2015 = 100",103.9,100
"201703","CCPI","11","Index : October 2014 - September 2015 = 100",101.9,1.48
"201703","CCPI","10","Index : October 2014 - September 2015 = 100",112.5,0.24
"201703","CCPI","9","Index : October 2014 - September 2015 = 100",96.7,0.06
"201703","CCPI","8","Index : October 2014 - September 2015 = 100",106.2,1.46
"201703","CCPI","7","Index : October 2014 - September 2015 = 100",100.3,0.43
"201703","CCPI","12","Index : October 2014 - September 2015 = 100",103.3,7.98
"201704","CCPI","1","Index : October 2014 - September 2015 = 100",105.5,0.4
"201704","CCPI","2","Index : October 2014 - September 2015 = 100",98.2,0.55
"201704","CCPI","3","Index : October 2014 - September 2015 = 100",106.2,1.76
"201704","CCPI","4","Index : October 2014 - September 2015 = 100",100.2,1.18
"201704","CCPI","12","Index : October 2014 - September 2015 = 100",104.2,7.98
"201704","CCPI","99","Index : October 2014 - September 2015 = 100",104.5,100
"201704","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201704","CCPI","6","Index : October 2014 - September 2015 = 100",98.6,0.41
"201704","CCPI","7","Index : October 2014 - September 2015 = 100",107.7,0.43
"201704","CCPI","8","Index : October 2014 - September 2015 = 100",107.6,1.46
"201704","CCPI","9","Index : October 2014 - September 2015 = 100",101.1,0.06
"201704","CCPI","10","Index : October 2014 - September 2015 = 100",112.5,0.24
"201704","CCPI","11","Index : October 2014 - September 2015 = 100",103,1.48
"201705","CCPI","1","Index : October 2014 - September 2015 = 100",107,0.4
"201705","CCPI","2","Index : October 2014 - September 2015 = 100",97.6,0.55
"201705","CCPI","3","Index : October 2014 - September 2015 = 100",106.3,1.76
"201705","CCPI","4","Index : October 2014 - September 2015 = 100",97.4,1.18
"201705","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201705","CCPI","6","Index : October 2014 - September 2015 = 100",98.7,0.41
"201705","CCPI","99","Index : October 2014 - September 2015 = 100",104.3,100
"201705","CCPI","8","Index : October 2014 - September 2015 = 100",107.6,1.46
"201705","CCPI","9","Index : October 2014 - September 2015 = 100",101.1,0.06
"201705","CCPI","10","Index : October 2014 - September 2015 = 100",112.5,0.24
"201705","CCPI","11","Index : October 2014 - September 2015 = 100",102.2,1.48
"201705","CCPI","12","Index : October 2014 - September 2015 = 100",103.9,7.98
"201705","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201706","CCPI","2","Index : October 2014 - September 2015 = 100",96.4,0.55
"201706","CCPI","3","Index : October 2014 - September 2015 = 100",106.5,1.76
"201706","CCPI","4","Index : October 2014 - September 2015 = 100",97.8,1.18
"201706","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201706","CCPI","6","Index : October 2014 - September 2015 = 100",98.9,0.41
"201706","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201706","CCPI","8","Index : October 2014 - September 2015 = 100",106.3,1.46
"201706","CCPI","9","Index : October 2014 - September 2015 = 100",101,0.06
"201706","CCPI","10","Index : October 2014 - September 2015 = 100",112.7,0.24
"201706","CCPI","11","Index : October 2014 - September 2015 = 100",102.6,1.48
"201706","CCPI","12","Index : October 2014 - September 2015 = 100",103.7,7.98
"201706","CCPI","99","Index : October 2014 - September 2015 = 100",104.3,100
"201706","CCPI","1","Index : October 2014 - September 2015 = 100",106.2,0.4
"201707","CCPI","99","Index : October 2014 - September 2015 = 100",104.7,100
"201707","CCPI","12","Index : October 2014 - September 2015 = 100",104.3,7.98
"201707","CCPI","11","Index : October 2014 - September 2015 = 100",105.6,1.48
"201707","CCPI","10","Index : October 2014 - September 2015 = 100",112.7,0.24
"201707","CCPI","9","Index : October 2014 - September 2015 = 100",103.3,0.06
"201707","CCPI","8","Index : October 2014 - September 2015 = 100",104.5,1.46
"201707","CCPI","1","Index : October 2014 - September 2015 = 100",106.2,0.4
"201707","CCPI","6","Index : October 2014 - September 2015 = 100",99,0.41
"201707","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201707","CCPI","4","Index : October 2014 - September 2015 = 100",100.3,1.18
"201707","CCPI","3","Index : October 2014 - September 2015 = 100",106.7,1.76
"201707","CCPI","2","Index : October 2014 - September 2015 = 100",96.1,0.55
"201707","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201708","CCPI","12","Index : October 2014 - September 2015 = 100",103.9,7.98
"201708","CCPI","99","Index : October 2014 - September 2015 = 100",104.8,100
"201708","CCPI","11","Index : October 2014 - September 2015 = 100",102,1.48
"201708","CCPI","10","Index : October 2014 - September 2015 = 100",112.7,0.24
"201708","CCPI","9","Index : October 2014 - September 2015 = 100",103.6,0.06
"201708","CCPI","8","Index : October 2014 - September 2015 = 100",104.3,1.46
"201708","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201708","CCPI","6","Index : October 2014 - September 2015 = 100",99,0.41
"201708","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201708","CCPI","4","Index : October 2014 - September 2015 = 100",100.3,1.18
"201708","CCPI","3","Index : October 2014 - September 2015 = 100",107.2,1.76
"201708","CCPI","2","Index : October 2014 - September 2015 = 100",98.3,0.55
"201708","CCPI","1","Index : October 2014 - September 2015 = 100",106.5,0.4
"201709","CCPI","1","Index : October 2014 - September 2015 = 100",106.2,0.4
"201709","CCPI","2","Index : October 2014 - September 2015 = 100",100.8,0.55
"201709","CCPI","3","Index : October 2014 - September 2015 = 100",107.2,1.76
"201709","CCPI","4","Index : October 2014 - September 2015 = 100",100.3,1.18
"201709","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201709","CCPI","6","Index : October 2014 - September 2015 = 100",99.1,0.41
"201709","CCPI","99","Index : October 2014 - September 2015 = 100",104.6,100
"201709","CCPI","8","Index : October 2014 - September 2015 = 100",104.6,1.46
"201709","CCPI","9","Index : October 2014 - September 2015 = 100",103.6,0.06
"201709","CCPI","10","Index : October 2014 - September 2015 = 100",114.4,0.24
"201709","CCPI","11","Index : October 2014 - September 2015 = 100",103.1,1.48
"201709","CCPI","12","Index : October 2014 - September 2015 = 100",104.4,7.98
"201709","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201710","CCPI","7","Index : October 2014 - September 2015 = 100",110.4,0.43
"201710","CCPI","8","Index : October 2014 - September 2015 = 100",102.1,1.46
"201710","CCPI","9","Index : October 2014 - September 2015 = 100",103.6,0.06
"201710","CCPI","10","Index : October 2014 - September 2015 = 100",114.5,0.24
"201710","CCPI","11","Index : October 2014 - September 2015 = 100",100,1.48
"201710","CCPI","12","Index : October 2014 - September 2015 = 100",103.3,7.98
"201710","CCPI","99","Index : October 2014 - September 2015 = 100",104.9,100
"201710","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201710","CCPI","4","Index : October 2014 - September 2015 = 100",100.1,1.18
"201710","CCPI","3","Index : October 2014 - September 2015 = 100",107,1.76
"201710","CCPI","2","Index : October 2014 - September 2015 = 100",101,0.55
"201710","CCPI","1","Index : October 2014 - September 2015 = 100",106.2,0.4
"201710","CCPI","6","Index : October 2014 - September 2015 = 100",99.2,0.41
"201711","CCPI","6","Index : October 2014 - September 2015 = 100",99.3,0.41
"201711","CCPI","5","Index : October 2014 - September 2015 = 100",97,0.01
"201711","CCPI","4","Index : October 2014 - September 2015 = 100",100.2,1.18
