"年月","指数类别","组别类别","基数年","指数","权数"
"201306","CCPI","11","Index : October 2014 - September 2015 = 100",103.9,1.48
"201306","CCPI","12","Index : October 2014 - September 2015 = 100",98,7.98
"201306","CCPI","99","Index : October 2014 - September 2015 = 100",93.6,100
"201307","CCPI","1","Index : October 2014 - September 2015 = 100",104,0.4
"201307","CCPI","2","Index : October 2014 - September 2015 = 100",111.3,0.55
"201307","CCPI","3","Index : October 2014 - September 2015 = 100",94.9,1.76
"201307","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201307","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201307","CCPI","6","Index : October 2014 - September 2015 = 100",96.7,0.41
"201307","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201307","CCPI","8","Index : October 2014 - September 2015 = 100",96.6,1.46
"201307","CCPI","9","Index : October 2014 - September 2015 = 100",95.4,0.06
"201307","CCPI","10","Index : October 2014 - September 2015 = 100",86.7,0.24
"201307","CCPI","11","Index : October 2014 - September 2015 = 100",107.4,1.48
"201307","CCPI","12","Index : October 2014 - September 2015 = 100",99.2,7.98
"201307","CCPI","99","Index : October 2014 - September 2015 = 100",94.1,100
"201308","CCPI","1","Index : October 2014 - September 2015 = 100",103.9,0.4
"201308","CCPI","2","Index : October 2014 - September 2015 = 100",110.9,0.55
"201308","CCPI","3","Index : October 2014 - September 2015 = 100",95.1,1.76
"201308","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201308","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201308","CCPI","6","Index : October 2014 - September 2015 = 100",97,0.41
"201308","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201308","CCPI","8","Index : October 2014 - September 2015 = 100",96.5,1.46
"201308","CCPI","9","Index : October 2014 - September 2015 = 100",95.4,0.06
"201308","CCPI","10","Index : October 2014 - September 2015 = 100",86.5,0.24
"201308","CCPI","11","Index : October 2014 - September 2015 = 100",107.4,1.48
"201308","CCPI","12","Index : October 2014 - September 2015 = 100",99.2,7.98
"201308","CCPI","99","Index : October 2014 - September 2015 = 100",91.9,100
"201309","CCPI","2","Index : October 2014 - September 2015 = 100",110.8,0.55
"201309","CCPI","3","Index : October 2014 - September 2015 = 100",95.2,1.76
"201309","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201309","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201309","CCPI","6","Index : October 2014 - September 2015 = 100",97.2,0.41
"201309","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201309","CCPI","8","Index : October 2014 - September 2015 = 100",96.6,1.46
"201309","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201309","CCPI","10","Index : October 2014 - September 2015 = 100",92.1,0.24
"201309","CCPI","11","Index : October 2014 - September 2015 = 100",106.1,1.48
"201309","CCPI","12","Index : October 2014 - September 2015 = 100",99.2,7.98
"201309","CCPI","99","Index : October 2014 - September 2015 = 100",92.4,100
"201309","CCPI","1","Index : October 2014 - September 2015 = 100",104.1,0.4
"201310","CCPI","6","Index : October 2014 - September 2015 = 100",97.3,0.41
"201310","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201310","CCPI","4","Index : October 2014 - September 2015 = 100",97.9,1.18
"201310","CCPI","3","Index : October 2014 - September 2015 = 100",95,1.76
"201310","CCPI","2","Index : October 2014 - September 2015 = 100",108.9,0.55
