"年月","抵港或离港","人次"
"202411","DB",117259
"202412","AV",152538
"202412","DB",139508
"202501","DB",138708
"202501","AV",139813
"202502","AV",129585
"202502","DB",113267
"202503","AV",148766
"202503","DB",126709
"202504","AV",149126
"202504","DB",128077
"202505","AV",155097
"202505","DB",145764
"202506","DB",125570
"202506","AV",142067
"202507","AV",144189
"202507","DB",127642
"202508","DB",148542
"202508","AV",155435
"202509","AV",121888
"202509","DB",114685
"202510","DB",141067
"202510","AV",140249
"202511","AV",136425
"202511","DB",143994
"202512","DB",147115
"202512","AV",154544
"202601","AV",140137
"202601","DB",154364
