"年月","指数类别","组别类别","基数年","指数","权数"
"201306","CPIA","11","Index : October 2014 - September 2015 = 100",100.1,0.89
"201306","CPIA","12","Index : October 2014 - September 2015 = 100",96.3,6.75
"201306","CPIA","99","Index : October 2014 - September 2015 = 100",92.4,100
"201307","CPIA","1","Index : October 2014 - September 2015 = 100",97.8,0.22
"201307","CPIA","2","Index : October 2014 - September 2015 = 100",111.3,0.15
"201307","CPIA","3","Index : October 2014 - September 2015 = 100",91.6,0.56
"201307","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201307","CPIA","6","Index : October 2014 - September 2015 = 100",96.7,0.61
"201307","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201307","CPIA","8","Index : October 2014 - September 2015 = 100",96.5,2.03
"201307","CPIA","99","Index : October 2014 - September 2015 = 100",92.8,100
"201307","CPIA","12","Index : October 2014 - September 2015 = 100",97.4,6.75
"201307","CPIA","11","Index : October 2014 - September 2015 = 100",103,0.89
"201307","CPIA","10","Index : October 2014 - September 2015 = 100",86.7,0.13
"201307","CPIA","9","Index : October 2014 - September 2015 = 100",95.4,0.05
"201307","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201308","CPIA","99","Index : October 2014 - September 2015 = 100",86.9,100
"201308","CPIA","12","Index : October 2014 - September 2015 = 100",97.5,6.75
"201308","CPIA","10","Index : October 2014 - September 2015 = 100",86.6,0.13
"201308","CPIA","9","Index : October 2014 - September 2015 = 100",95.4,0.05
"201308","CPIA","8","Index : October 2014 - September 2015 = 100",96.4,2.03
"201308","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201308","CPIA","6","Index : October 2014 - September 2015 = 100",97,0.61
"201308","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201308","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201308","CPIA","3","Index : October 2014 - September 2015 = 100",91.7,0.56
"201308","CPIA","2","Index : October 2014 - September 2015 = 100",110.9,0.15
"201308","CPIA","1","Index : October 2014 - September 2015 = 100",97.7,0.22
"201308","CPIA","11","Index : October 2014 - September 2015 = 100",103.5,0.89
"201309","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201309","CPIA","6","Index : October 2014 - September 2015 = 100",97.2,0.61
"201309","CPIA","3","Index : October 2014 - September 2015 = 100",91.8,0.56
"201309","CPIA","2","Index : October 2014 - September 2015 = 100",110.8,0.15
"201309","CPIA","1","Index : October 2014 - September 2015 = 100",98.1,0.22
"201309","CPIA","99","Index : October 2014 - September 2015 = 100",87.5,100
"201309","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201309","CPIA","8","Index : October 2014 - September 2015 = 100",96.6,2.03
"201309","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201309","CPIA","10","Index : October 2014 - September 2015 = 100",92.2,0.13
"201309","CPIA","11","Index : October 2014 - September 2015 = 100",102.5,0.89
"201309","CPIA","12","Index : October 2014 - September 2015 = 100",97.5,6.75
"201309","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201310","CPIA","6","Index : October 2014 - September 2015 = 100",97.3,0.61
"201310","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201310","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201310","CPIA","3","Index : October 2014 - September 2015 = 100",89.8,0.56
"201310","CPIA","2","Index : October 2014 - September 2015 = 100",108.9,0.15
"201310","CPIA","1","Index : October 2014 - September 2015 = 100",98.1,0.22
"201310","CPIA","99","Index : October 2014 - September 2015 = 100",93.7,100
"201310","CPIA","8","Index : October 2014 - September 2015 = 100",96.6,2.03
"201310","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201310","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201310","CPIA","11","Index : October 2014 - September 2015 = 100",101.1,0.89
"201310","CPIA","12","Index : October 2014 - September 2015 = 100",97.2,6.75
"201310","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201311","CPIA","6","Index : October 2014 - September 2015 = 100",97.5,0.61
"201311","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201311","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201311","CPIA","3","Index : October 2014 - September 2015 = 100",89.8,0.56
"201311","CPIA","2","Index : October 2014 - September 2015 = 100",109,0.15
"201311","CPIA","1","Index : October 2014 - September 2015 = 100",99.2,0.22
"201311","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201311","CPIA","99","Index : October 2014 - September 2015 = 100",93.9,100
"201311","CPIA","12","Index : October 2014 - September 2015 = 100",97,6.75
"201311","CPIA","11","Index : October 2014 - September 2015 = 100",100.2,0.89
"201311","CPIA","10","Index : October 2014 - September 2015 = 100",92.3,0.13
"201311","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201311","CPIA","8","Index : October 2014 - September 2015 = 100",96.6,2.03
"201312","CPIA","1","Index : October 2014 - September 2015 = 100",99.3,0.22
"201312","CPIA","2","Index : October 2014 - September 2015 = 100",110.5,0.15
"201312","CPIA","3","Index : October 2014 - September 2015 = 100",89.8,0.56
"201312","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201312","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201312","CPIA","6","Index : October 2014 - September 2015 = 100",97.8,0.61
