"年月","关口","抵港或离港","人次"
"201511","HARB","DB",1475
"201511","SZB","DB",1572290
"201511","LWT","DB",3333914
"201511","HHS","AV",166483
"201511","LMC","DB",1037395
"201511","AIR","AV",1954300
"201511","HARB","AV",3322
"201512","SZB","AV",1622707
"201512","LWT","AV",3602550
"201512","MKT","AV",189682
"201512","STK","DB",127441
"201512","TMFT","DB",0
"201512","HHS","AV",176712
"201512","KTCT","AV",56475
"201512","TMFT","AV",0
"201512","AIR","AV",2092228
"201512","RTT","DB",10
"201512","STK","AV",134070
"201512","AIR","DB",2098585
"201512","SZB","DB",1647720
"201512","LMC","DB",1082925
"201512","HARB","AV",2255
"201512","KTCT","DB",57076
"201512","LMCSL","DB",2890629
"201512","MKT","DB",151849
"201512","LMCSL","AV",2696205
"201512","MFT","DB",836441
"201512","LWT","DB",3578952
"201512","HHS","DB",176629
"201512","CFT","DB",406548
"201512","LMC","AV",1224118
"201512","HARB","DB",1643
"201512","MFT","AV",724484
"201512","RTT","AV",2
"201512","CFT","AV",355032
"201601","STK","AV",141868
"201601","RTT","AV",14
"201601","TMFT","AV",2098
"201601","LMC","DB",1058284
"201601","MFT","AV",587343
"201601","RTT","DB",1
"201601","CFT","AV",309845
"201601","LMCSL","DB",2884150
"201601","AIR","AV",1984928
"201601","MFT","DB",655449
"201601","LMC","AV",1198966
"201601","LMCSL","AV",2756305
"201601","LWT","AV",3621434
"201601","CFT","DB",331222
"201601","HHS","AV",173097
"201601","KTCT","AV",49557
"201601","MKT","AV",208593
"201601","MKT","DB",166975
"201601","SZB","DB",1646317
"201601","KTCT","DB",49126
"201601","HARB","DB",1698
"201601","HARB","AV",2791
"201601","SZB","AV",1712579
"201601","TMFT","DB",1755
"201601","AIR","DB",1959767
"201601","STK","DB",128579
"201601","HHS","DB",166574
"201601","LWT","DB",3466498
"201602","HHS","AV",156592
"201602","HHS","DB",165753
"201602","LMCSL","DB",2149071
"201602","SZB","AV",1463110
"201602","MFT","DB",698811
"201602","TMFT","AV",21516
"201602","LMC","AV",1013579
"201602","LMCSL","AV",2061878
"201602","CFT","DB",343800
"201602","HARB","AV",2129
"201602","SZB","DB",1543154
"201602","TMFT","DB",20905
"201602","STK","AV",122874
"201602","HARB","DB",1303
"201602","LMC","DB",947821
"201602","STK","DB",118400
"201602","AIR","AV",1993590
"201602","RTT","DB",2
"201602","RTT","AV",11
"201602","LWT","AV",3081978
"201602","KTCT","DB",57150
"201602","KTCT","AV",57128
"201602","MFT","AV",656854
"201602","LWT","DB",3109561
"201602","MKT","AV",159899
"201602","AIR","DB",1844023
"201602","MKT","DB",133312
"201602","CFT","AV",294576
"201603","TMFT","DB",27771
"201603","MKT","DB",148072
"201603","AIR","AV",2001552
"201603","MFT","DB",737358
"201603","TMFT","AV",28653
"201603","STK","DB",126306
"201603","HHS","AV",153209
"201603","LMC","AV",1210113
"201603","MFT","AV",631858
"201603","CFT","DB",325794
"201603","LMC","DB",1029027
"201603","SZB","DB",1536650
"201603","LMCSL","AV",2569745
"201603","LWT","AV",3383823
"201603","LMCSL","DB",2790449
"201603","CFT","AV",256030
"201603","KTCT","DB",84204
"201603","KTCT","AV",80983
"201603","SZB","AV",1497635
"201603","RTT","AV",22
"201603","LWT","DB",3350981
"201603","MKT","AV",170183
"201603","STK","AV",126028
"201603","HARB","AV",2756
"201603","AIR","DB",2078969
"201603","HARB","DB",2166
"201603","RTT","DB",12
"201603","HHS","DB",159777
"201604","TMFT","DB",22733
"201604","SZB","DB",1614542
"201604","LWT","DB",3344236
"201604","LMC","DB",1047147
"201604","TMFT","AV",23526
"201604","LWT","AV",3428207
"201604","CFT","DB",334900
"201604","MFT","DB",743110
"201604","HHS","AV",175472
"201604","RTT","AV",11
"201604","SZB","AV",1619742
"201604","AIR","AV",2055743
"201604","HARB","DB",1910
"201604","MKT","DB",154089
"201604","LMCSL","AV",2586800
"201604","STK","DB",127246
"201604","MKT","AV",181793
"201604","MFT","AV",583192
"201604","KTCT","AV",63036
"201604","LMCSL","DB",2725613
"201604","KTCT","DB",64702
"201604","HARB","AV",2472
"201604","HHS","DB",175510
"201604","STK","AV",132783
"201604","AIR","DB",1894768
"201604","LMC","AV",1315674
"201604","CFT","AV",266649
"201604","RTT","DB",10
"201605","MKT","AV",186544
"201605","MFT","AV",623074
"201605","RTT","DB",9
"201605","TMFT","AV",24915
"201605","LMCSL","DB",2701544
"201605","STK","DB",117977
"201605","AIR","AV",1969983
"201605","KTCT","DB",53427
"201605","HHS","AV",153388
"201605","KTCT","AV",56287
"201605","HHS","DB",155228
"201605","MKT","DB",159900
"201605","HARB","DB",2032
"201605","LMC","DB",1034664
"201605","LWT","AV",3401816
"201605","SZB","AV",1571449
"201605","LWT","DB",3309145
"201605","HARB","AV",2279
"201605","TMFT","DB",23764
"201605","RTT","AV",2
"201605","SZB","DB",1592970
"201605","LMCSL","AV",2573243
"201605","CFT","AV",255766
"201605","CFT","DB",326324
"201605","STK","AV",125331
"201605","AIR","DB",1916027
"201605","MFT","DB",732951
"201605","LMC","AV",1238366
"201606","TMFT","DB",24231
"201606","AIR","AV",2028068
"201606","KTCT","AV",64547
"201606","TMFT","AV",24248
"201606","MFT","DB",725308
"201606","RTT","AV",3
"201606","SZB","AV",1485978
"201606","KTCT","DB",70869
"201606","MKT","AV",174915
"201606","STK","DB",113654
"201606","CFT","AV",240145
"201606","STK","AV",118149
"201606","SZB","DB",1529211
"201606","RTT","DB",6
"201606","LMCSL","DB",2603014
"201606","LMC","DB",974551
"201606","MKT","DB",149626
"201606","HARB","AV",2570
"201606","HHS","DB",142278
"201606","LWT","AV",3159573
"201606","LWT","DB",3155129
"201606","LMC","AV",1161669
"201606","HHS","AV",141505
"201606","LMCSL","AV",2443458
"201606","AIR","DB",2023856
"201606","CFT","DB",309318
"201606","MFT","AV",601834
"201606","HARB","DB",2224
"201607","RTT","AV",6
"201607","HARB","DB",1809
"201607","HHS","AV",170147
"201607","CFT","AV",298247
"201607","SZB","AV",1631524
"201607","STK","AV",124244
"201607","MKT","DB",135160
"201607","MKT","AV",164532
"201607","KTCT","DB",88422
"201607","LMC","DB",1039441
"201607","LMC","AV",1331921
"201607","TMFT","AV",33842
"201607","AIR","DB",2190289
"201607","SZB","DB",1619291
"201607","LWT","AV",3515799
"201607","AIR","AV",2174107
"201607","RTT","DB",6
"201607","HARB","AV",2654
"201607","MFT","AV",727713
"201607","HHS","DB",166827
"201607","STK","DB",117017
"201607","CFT","DB",365985
"201607","MFT","DB",873561
"201607","KTCT","AV",90469
"201607","TMFT","DB",32937
"201607","LWT","DB",3485974
"201607","LMCSL","DB",2763016
"201607","LMCSL","AV",2601041
"201608","KTCT","AV",70610
"201608","KTCT","DB",70788
"201608","RTT","AV",5
"201608","LWT","AV",3498503
"201608","LMC","AV",1298333
"201608","LWT","DB",3443840
"201608","RTT","DB",7
"201608","AIR","DB",2010449
"201608","LMCSL","AV",2530401
"201608","CFT","AV",303365
"201608","TMFT","DB",32701
"201608","HHS","DB",166490
"201608","LMCSL","DB",2634842
"201608","STK","DB",119024
"201608","HARB","DB",1703
"201608","MKT","AV",153040
"201608","MKT","DB",126571
"201608","HHS","AV",169306
"201608","SZB","DB",1595326
"201608","CFT","DB",373792
"201608","STK","AV",127116
"201608","MFT","DB",855477
"201608","HARB","AV",2293
"201608","AIR","AV",2274115
"201608","LMC","DB",1047065
"201608","SZB","AV",1591993
"201608","TMFT","AV",34191
"201608","MFT","AV",699780
"201609","HARB","DB",2175
"201609","AIR","DB",1899749
"201609","STK","AV",126378
"201609","SZB","AV",1603820
"201609","HARB","AV",2920
"201609","LMC","AV",1203161
"201609","STK","DB",120867
"201609","CFT","AV",251956
"201609","LMCSL","AV",2539887
"201609","AIR","AV",1856397
"201609","KTCT","AV",62633
"201609","MKT","AV",193075
"201609","SZB","DB",1571000
"201609","LMC","DB",969757
"201609","MKT","DB",167772
"201609","LMCSL","DB",2666587
"201609","MFT","AV",617051
"201609","LWT","AV",3322531
"201609","MFT","DB",749520
"201609","CFT","DB",298347
"201609","RTT","AV",2
"201609","RTT","DB",4
"201609","LWT","DB",3308412
"201609","TMFT","AV",26848
"201609","HHS","DB",147219
"201609","TMFT","DB",26928
"201609","HHS","AV",149502
"201609","KTCT","DB",62502
"201610","MFT","DB",794102
"201610","MFT","AV",623708
"201610","KTCT","DB",76213
"201610","STK","AV",130083
"201610","AIR","AV",2144636
"201610","LMC","AV",1288125
"201610","CFT","AV",284959
"201610","HHS","AV",163988
"201610","AIR","DB",1972646
"201610","STK","DB",124715
"201610","MKT","AV",191023
"201610","LMCSL","DB",2704361
"201610","RTT","AV",7
"201610","KTCT","AV",74858
"201610","HHS","DB",169631
"201610","LWT","DB",3455287
"201610","LMC","DB",1050788
"201610","HARB","AV",3121
"201610","CFT","DB",325836
"201610","MKT","DB",164087
"201610","LMCSL","AV",2615737
"201610","TMFT","AV",25777
"201610","LWT","AV",3446027
"201610","SZB","AV",1638043
"201610","RTT","DB",6
"201610","HARB","DB",2544
"201610","TMFT","DB",26356
"201610","SZB","DB",1679012
"201611","SZB","AV",1599474
"201611","STK","DB",119901
"201611","HHS","DB",155208
"201611","LMCSL","DB",2930436
"201611","CFT","AV",276576
"201611","KTCT","DB",76864
"201611","STK","AV",124808
"201611","MFT","DB",825826
"201611","HARB","DB",1933
"201611","MKT","AV",189216
"201611","LMC","AV",1295417
"201611","LWT","AV",3301649
"201611","RTT","DB",9
"201611","HARB","AV",3316
"201611","MFT","AV",620914
"201611","MKT","DB",165469
"201611","KTCT","AV",76327
"201611","TMFT","AV",24796
"201611","AIR","AV",1974034
"201611","RTT","AV",4
"201611","LMCSL","AV",2820021
"201611","SZB","DB",1610599
"201611","AIR","DB",1916780
"201611","LMC","DB",1004940
"201611","HHS","AV",158084
"201611","TMFT","DB",25129
"201611","LWT","DB",3284854
"201611","CFT","DB",327881
"201612","KTCT","AV",59021
"201612","HHS","DB",174444
"201612","TMFT","DB",32456
"201612","RTT","AV",3
"201612","KTCT","DB",62794
"201612","TMFT","AV",31950
"201612","SZB","AV",1768178
"201612","AIR","DB",2243279
"201612","CFT","AV",331162
"201612","LWT","DB",3751788
"201612","SZB","DB",1796676
"201612","LMCSL","DB",2923611
"201612","LMCSL","AV",2834324
"201612","AIR","AV",2233218
"201612","LMC","AV",1351028
"201612","MFT","DB",931041
"201612","CFT","DB",380400
"201612","HARB","AV",2551
"201612","MKT","DB",163213
"201612","STK","AV",134814
"201612","LMC","DB",1124847
"201612","RTT","DB",5
"201612","HHS","AV",174410
"201612","MKT","AV",190815
"201612","STK","DB",129981
"201612","LWT","AV",3654102
"201612","HARB","DB",2002
"201612","MFT","AV",745515
"201701","RTT","AV",2
"201701","LWT","DB",3830685
"201701","HHS","DB",180618
"201701","KTCT","AV",53833
"201701","LWT","AV",3620543
"201701","MKT","DB",180323
"201701","RTT","DB",2
"201701","SZB","DB",1888566
"201701","MKT","AV",213453
"201701","KTCT","DB",51815
"201701","SZB","AV",1865439
"201701","HARB","AV",2152
"201701","LMCSL","DB",2722836
"201701","HARB","DB",1743
"201701","LMCSL","AV",2652310
"201701","TMFT","DB",29933
"201701","STK","DB",140810
"201701","MFT","DB",729247
"201701","STK","AV",144224
"201701","LMC","DB",1132904
"201701","LMC","AV",1239841
"201701","MFT","AV",665739
"201701","AIR","AV",2066717
"201701","CFT","AV",316937
"201701","HHS","AV",176134
"201701","TMFT","AV",27847
"201701","AIR","DB",2217313
"201701","CFT","DB",353978
"201702","CFT","DB",304700
"201702","LMCSL","AV",2197922
"201702","LMCSL","DB",2185681
"201702","KTCT","DB",53341
"201702","TMFT","DB",27949
"201702","HHS","DB",138308
"201702","LWT","DB",2872478
"201702","MFT","DB",686291
"201702","SZB","AV",1489879
"201702","LMC","AV",1069088
"201702","KTCT","AV",53521
"201702","STK","AV",116284
"201702","RTT","DB",12
"201702","RTT","AV",8
"201702","LWT","AV",3039439
"201702","MKT","AV",166772
"201702","HARB","AV",2469
"201702","MFT","AV",625637
"201702","MKT","DB",147106
"201702","HHS","AV",145199
"201702","STK","DB",105686
"201702","CFT","AV",272040
"201702","HARB","DB",1787
"201702","SZB","DB",1473232
"201702","LMC","DB",935391
"201702","AIR","DB",1668586
"201702","TMFT","AV",28268
"201702","AIR","AV",2020540
"201703","AIR","AV",1992989
"201703","AIR","DB",1989542
"201703","HARB","AV",3086
"201703","HARB","DB",2124
"201703","MFT","AV",594570
"201703","MFT","DB",755375
"201703","TMFT","AV",25109
"201703","TMFT","DB",25557
"201703","CFT","AV",257089
"201703","CFT","DB",305342
"201703","MKT","DB",179097
"201703","STK","AV",127930
"201703","STK","DB",126030
"201703","SZB","AV",1599214
"201703","SZB","DB",1632678
"201703","RTT","AV",2
"201703","RTT","DB",7
"201703","KTCT","AV",79315
"201703","KTCT","DB",83339
"201703","HHS","AV",147181
"201703","HHS","DB",149930
"201703","LWT","AV",3286712
"201703","LWT","DB",3305725
"201703","LMCSL","AV",2699268
"201703","LMCSL","DB",2797834
"201703","LMC","AV",1287087
"201703","LMC","DB",1057750
"201703","MKT","AV",194353
"201704","AIR","AV",2275553
"201704","AIR","DB",2246860
"201704","HARB","AV",3098
"201704","HARB","DB",2277
"201704","MFT","AV",681053
"201704","MFT","DB",884175
"201704","TMFT","AV",34221
"201704","TMFT","DB",36723
"201704","CFT","AV",302619
"201704","CFT","DB",346435
"201704","RTT","AV",1
"201704","RTT","DB",2
"201704","KTCT","AV",79485
"201704","KTCT","DB",81271
"201704","HHS","AV",179381
"201704","HHS","DB",180713
"201704","LWT","AV",3557254
"201704","LWT","DB",3638650
"201704","LMCSL","AV",2692001
"201704","LMCSL","DB",2788499
"201704","LMC","AV",1394086
"201704","LMC","DB",1098847
"201704","MKT","AV",174887
"201704","MKT","DB",155815
"201704","STK","AV",135217
"201704","STK","DB",133568
"201704","SZB","AV",1726343
"201704","SZB","DB",1747155
"201705","AIR","AV",2107307
"201705","AIR","DB",2031439
"201705","HARB","AV",2490
"201705","HARB","DB",2345
"201705","MFT","AV",615527
"201705","MFT","DB",801764
"201705","TMFT","AV",27583
"201705","TMFT","DB",27374
"201705","CFT","AV",263326
"201705","CFT","DB",303350
"201705","RTT","AV",8
"201705","RTT","DB",11
"201705","KTCT","AV",53928
"201705","KTCT","DB",50460
"201705","HHS","AV",151742
"201705","HHS","DB",151160
"201705","LWT","AV",3331631
"201705","LWT","DB",3280511
"201705","LMCSL","AV",2582340
"201705","LMCSL","DB",2643695
"201705","LMC","AV",1309972
"201705","LMC","DB",1047468
"201705","MKT","AV",188406
"201705","MKT","DB",167251
"201705","STK","AV",130744
"201705","STK","DB",124460
"201705","SZB","AV",1641178
"201705","SZB","DB",1646940
"201706","HARB","DB",1880
"201706","MFT","AV",571330
"201706","MFT","DB",731205
"201706","TMFT","AV",26342
"201706","TMFT","DB",27407
"201706","CFT","AV",244151
"201706","CFT","DB",278883
"201706","RTT","AV",6
"201706","RTT","DB",8
"201706","KTCT","AV",59876
"201706","KTCT","DB",55212
"201706","HHS","AV",134407
"201706","HHS","DB",135456
"201706","LWT","AV",3013684
"201706","LWT","DB",3047844
"201706","LMCSL","AV",2342659
"201706","LMCSL","DB",2429975
"201706","LMC","AV",1192444
"201706","LMC","DB",989558
"201706","MKT","AV",173946
"201706","MKT","DB",159447
"201706","STK","AV",123958
"201706","STK","DB",120596
"201706","SZB","AV",1491748
"201706","SZB","DB",1542780
"201706","AIR","AV",2095607
"201706","AIR","DB",2042416
"201706","HARB","AV",2424
"201707","LMCSL","DB",2495376
"201707","LMC","AV",1427838
"201707","LMC","DB",1086025
"201707","MKT","AV",165433
"201707","MKT","DB",142596
"201707","STK","AV",133470
"201707","STK","DB",127019
"201707","SZB","AV",1699090
"201707","SZB","DB",1700359
"201707","AIR","AV",2239827
"201707","AIR","DB",2286243
"201707","HARB","AV",2631
"201707","HARB","DB",2451
"201707","MFT","AV",665793
"201707","MFT","DB",922821
"201707","TMFT","AV",33374
"201707","TMFT","DB",33269
"201707","CFT","AV",293362
"201707","CFT","DB",334683
"201707","RTT","AV",23
"201707","RTT","DB",3
"201707","KTCT","AV",88906
"201707","KTCT","DB",85185
"201707","HHS","AV",166538
"201707","HHS","DB",165362
"201707","LWT","AV",3444149
"201707","LWT","DB",3485466
"201707","LMCSL","AV",2429330
"201708","AIR","AV",2409772
"201708","AIR","DB",2158027
"201708","SZB","DB",1615976
"201708","SZB","AV",1613653
"201708","STK","DB",115382
"201708","STK","AV",122835
"201708","MKT","DB",121919
"201708","MKT","AV",144253
"201708","LMC","DB",1119801
"201708","LMC","AV",1360093
"201708","LMCSL","DB",2303963
"201708","LMCSL","AV",2311092
"201708","LWT","DB",3398763
"201708","LWT","AV",3378715
"201708","HHS","DB",161204
"201708","HHS","AV",164899
"201708","KTCT","DB",77929
"201708","KTCT","AV",78232
"201708","RTT","DB",3
"201708","RTT","AV",2
"201708","CFT","DB",306443
"201708","CFT","AV",274562
"201708","TMFT","DB",31744
"201708","TMFT","AV",33640
"201708","MFT","DB",846563
"201708","MFT","AV",632307
"201708","HARB","DB",2368
"201708","HARB","AV",2528
"201709","TMFT","AV",24143
"201709","RTT","DB",3
"201709","MFT","AV",516847
"201709","HARB","DB",1799
"201709","HARB","AV",2508
"201709","AIR","DB",1984037
"201709","AIR","AV",1899725
"201709","RTT","AV",9
"201709","CFT","DB",252806
"201709","SZB","DB",1689391
"201709","SZB","AV",1671052
"201709","STK","DB",124968
"201709","STK","AV",127503
"201709","MKT","DB",182849
"201709","MKT","AV",202538
"201709","LMC","DB",1053313
"201709","LMC","AV",1292603
"201709","LMCSL","DB",2383622
"201709","LMCSL","AV",2374832
"201709","LWT","DB",3367011
"201709","LWT","AV",3245841
"201709","HHS","DB",143519
"201709","HHS","AV",143854
"201709","KTCT","DB",70895
"201709","KTCT","AV",77044
"201709","CFT","AV",209619
"201709","TMFT","DB",24131
"201709","MFT","DB",754181
"201710","AIR","AV",2300030
"201710","AIR","DB",2045119
"201710","SZB","DB",1808465
"201710","SZB","AV",1791701
"201710","STK","DB",130482
"201710","STK","AV",137742
"201710","MKT","DB",181464
"201710","MKT","AV",206636
"201710","LMC","DB",1157166
"201710","LMC","AV",1374759
"201710","LMCSL","DB",2331486
"201710","LMCSL","AV",2392549
"201710","LWT","DB",3549356
"201710","LWT","AV",3548978
"201710","HHS","DB",183396
"201710","HHS","AV",181825
"201710","KTCT","DB",81298
"201710","KTCT","AV",78762
"201710","RTT","DB",8
"201710","RTT","AV",0
"201710","CFT","DB",312872
"201710","CFT","AV",281927
"201710","TMFT","DB",26828
"201710","TMFT","AV",27446
"201710","MFT","DB",830728
"201710","MFT","AV",610904
"201710","HARB","DB",2362
"201710","HARB","AV",2428
"201711","AIR","AV",2141518
"201711","SZB","DB",1731100
"201711","STK","DB",126741
"201711","STK","AV",130559
"201711","MKT","DB",182467
"201711","MKT","AV",214531
"201711","LMC","DB",1104619
"201711","LMC","AV",1373385
"201711","LMCSL","DB",2303941
"201711","LMCSL","AV",2343116
"201711","LWT","DB",3423883
"201711","LWT","AV",3374026
"201711","HHS","DB",154591
"201711","HHS","AV",161949
"201711","KTCT","DB",82055
"201711","KTCT","AV",75927
"201711","RTT","DB",0
"201711","RTT","AV",6
"201711","CFT","DB",312466
"201711","CFT","AV",267621
"201711","TMFT","DB",26058
"201711","TMFT","AV",25417
"201711","MFT","DB",908719
"201711","MFT","AV",599803
"201711","HARB","DB",1681
"201711","HARB","AV",2150
"201711","AIR","DB",2065243
"201711","SZB","AV",1734914
"201712","CFT","AV",320399
"201712","CFT","DB",359330
"201712","RTT","AV",10
"201712","RTT","DB",4
"201712","KTCT","AV",66042
"201712","KTCT","DB",64471
"201712","HHS","AV",179359
"201712","HHS","DB",179302
"201712","LWT","AV",3745766
"201712","LWT","DB",3920849
"201712","LMCSL","AV",2545508
"201712","LMCSL","DB",2514645
"201712","LMC","AV",1387681
"201712","LMC","DB",1200968
"201712","MKT","AV",213059
"201712","MKT","DB",181951
"201712","STK","AV",142194
"201712","STK","DB",137809
"201712","SZB","AV",1914912
"201712","SZB","DB",1911192
"201712","AIR","AV",2318953
"201712","AIR","DB",2328045
"201712","HARB","AV",2259
"201712","HARB","DB",1701
"201712","MFT","AV",721046
"201712","MFT","DB",965412
"201712","TMFT","AV",32501
"201712","TMFT","DB",33368
"201801","AIR","AV",2178070
"201801","AIR","DB",2074251
"201801","HARB","AV",2826
"201801","HARB","DB",1602
"201801","MFT","AV",587261
"201801","MFT","DB",790495
"201801","TMFT","AV",25468
"201801","TMFT","DB",25173
"201801","CFT","AV",286174
"201801","CFT","DB",307999
"201801","RTT","AV",1
"201801","RTT","DB",6
"201801","KTCT","AV",58782
"201801","KTCT","DB",55461
"201801","HHS","AV",165390
"201801","HHS","DB",161263
"201801","LWT","AV",3554764
"201801","LWT","DB",3545046
"201801","LMCSL","AV",2491034
"201801","LMCSL","DB",2417568
"201801","LMC","AV",1339684
"201801","LMC","DB",1141051
"201801","MKT","AV",224370
"201801","MKT","DB",196384
"201801","STK","AV",138152
"201801","STK","DB",130659
"201801","SZB","AV",1875655
"201801","SZB","DB",1799726
"201802","AIR","AV",2072010
"201802","AIR","DB",2005295
"201802","HARB","AV",2046
"201802","HARB","DB",1480
"201802","MFT","AV",632382
"201802","MFT","DB",715532
"201802","TMFT","AV",31131
"201802","TMFT","DB",33332
"201802","CFT","AV",311089
"201802","CFT","DB",325063
"201802","RTT","AV",0
"201802","RTT","DB",14
"201802","KTCT","AV",54713
"201802","KTCT","DB",56012
"201802","HHS","AV",175014
"201802","HHS","DB",178469
"201802","LWT","AV",3232264
"201802","LWT","DB",3363360
"201802","LMCSL","AV",2112850
"201802","LMCSL","DB",2076945
"201802","LMC","AV",1051758
"201802","LMC","DB",1044198
"201802","MKT","AV",180249
"201802","MKT","DB",152645
"201802","STK","AV",132744
"201802","STK","DB",126759
"201802","SZB","AV",1801940
"201802","SZB","DB",1815587
"201803","AIR","AV",2235924
"201803","AIR","DB",2319989
"201803","HARB","AV",3138
"201803","HARB","DB",2506
"201803","MFT","AV",627015
"201803","MFT","DB",819408
"201803","TMFT","AV",31425
"201803","TMFT","DB",33629
"201803","CFT","AV",271318
"201803","CFT","DB",309983
"201803","RTT","AV",12
"201803","RTT","DB",3
"201803","KTCT","AV",74607
"201803","KTCT","DB",79478
"201803","HHS","AV",161263
"201803","HHS","DB",173401
"201803","LWT","AV",3422167
"201803","LWT","DB",3722293
"201803","LMCSL","AV",2370139
"201803","LMCSL","DB",2477455
"201803","LMC","AV",1273736
"201803","LMC","DB",1199120
"201803","MKT","AV",206298
"201803","MKT","DB",195392
"201803","STK","AV",133505
"201803","STK","DB",140445
"201803","SZB","AV",1735602
"201803","SZB","DB",1882390
"201804","LMC","AV",1388829
"201804","LMC","DB",1124552
"201804","MKT","AV",211597
"201804","MKT","DB",179831
"201804","STK","AV",144578
"201804","STK","DB",132559
"201804","SZB","AV",2009846
"201804","SZB","DB",1825967
"201804","AIR","AV",2356961
"201804","AIR","DB",2165180
"201804","HARB","AV",2452
"201804","HARB","DB",1700
"201804","MFT","AV",661451
"201804","MFT","DB",832028
"201804","TMFT","AV",36291
"201804","TMFT","DB",36109
"201804","CFT","AV",306983
"201804","CFT","DB",323041
"201804","RTT","AV",1
"201804","RTT","DB",5
"201804","KTCT","AV",78748
"201804","KTCT","DB",77792
"201804","HHS","AV",197912
"201804","HHS","DB",182894
"201804","LWT","AV",3747132
"201804","LWT","DB",3604780
"201804","LMCSL","AV",2566389
"201804","LMCSL","DB",2375816
"201805","LMCSL","AV",2404471
"201805","LMCSL","DB",2345357
"201805","LMC","AV",1271569
"201805","LMC","DB",1164518
"201805","MKT","AV",199890
"201805","MKT","DB",178936
"201805","STK","AV",129225
"201805","STK","DB",126483
"201805","SZB","AV",1752197
"201805","SZB","DB",1787592
"201805","AIR","AV",2200228
"201805","AIR","DB",2147560
"201805","HARB","AV",2524
"201805","HARB","DB",2293
"201805","MFT","AV",603635
"201805","MFT","DB",792864
"201805","TMFT","AV",29825
"201805","TMFT","DB",29740
"201805","CFT","AV",267851
"201805","CFT","DB",301136
"201805","RTT","AV",15
"201805","RTT","DB",10
"201805","KTCT","AV",84951
"201805","KTCT","DB",84042
"201805","HHS","AV",168116
"201805","HHS","DB",168888
"201805","LWT","AV",3423541
"201805","LWT","DB",3487333
"201806","AIR","AV",2237546
"201806","AIR","DB",2241162
"201806","HARB","AV",2100
"201806","HARB","DB",1774
"201806","MFT","AV",580765
"201806","MFT","DB",744574
"201806","TMFT","AV",30508
"201806","TMFT","DB",31727
"201806","CFT","AV",259102
"201806","CFT","DB",288412
"201806","RTT","AV",1
"201806","RTT","DB",5
"201806","KTCT","AV",77574
"201806","KTCT","DB",77821
"201806","HHS","AV",159944
"201806","HHS","DB",163070
"201806","LWT","AV",3317840
"201806","LWT","DB",3485350
"201806","LMCSL","AV",2298478
"201806","LMCSL","DB",2270158
"201806","LMC","AV",1183710
"201806","LMC","DB",1094577
"201806","MKT","AV",182706
"201806","MKT","DB",163583
"201806","STK","AV",123470
"201806","STK","DB",122720
"201806","SZB","AV",1718430
"201806","SZB","DB",1783823
"201807","CFT","AV",305937
"201807","CFT","DB",329744
"201807","RTT","AV",0
"201807","RTT","DB",1
"201807","KTCT","AV",73411
"201807","KTCT","DB",69887
"201807","HHS","AV",193609
"201807","HHS","DB",185120
"201807","LWT","AV",3674905
"201807","LWT","DB",3704673
"201807","LMCSL","AV",2490104
"201807","LMCSL","DB",2401135
"201807","LMC","AV",1354373
"201807","LMC","DB",1152802
"201807","MKT","AV",174979
"201807","MKT","DB",147931
"201807","STK","AV",129402
"201807","STK","DB",122321
"201807","SZB","AV",1894044
"201807","SZB","DB",1864145
"201807","AIR","AV",2341191
"201807","AIR","DB",2362309
"201807","HARB","AV",2398
"201807","HARB","DB",1951
"201807","MFT","AV",662304
"201807","MFT","DB",857255
"201807","TMFT","AV",35723
"201807","TMFT","DB",35111
"201808","SZB","AV",1943446
"201808","SZB","DB",1947674
"201808","STK","AV",128378
"201808","MKT","DB",129949
"201808","MKT","AV",161900
"201808","LMC","DB",1187532
"201808","LMC","AV",1359688
"201808","LMCSL","DB",2394644
"201808","LMCSL","AV",2506287
"201808","LWT","DB",3811270
"201808","LWT","AV",3715211
"201808","HHS","DB",195203
"201808","HHS","AV",204258
"201808","KTCT","DB",91291
"201808","KTCT","AV",88238
"201808","RTT","DB",8
"201808","RTT","AV",3
"201808","CFT","DB",358063
"201808","CFT","AV",326899
"201808","TMFT","DB",36303
"201808","TMFT","AV",36897
"201808","MFT","DB",917211
"201808","MFT","AV",679062
"201808","HARB","DB",2186
"201808","HARB","AV",2476
"201808","AIR","DB",2301699
"201808","AIR","AV",2533456
"201808","STK","DB",121122
"201809","ERLWK","DB",174141
"201809","ERLWK","AV",201996
"201809","SZB","DB",1718241
"201809","SZB","AV",1706525
"201809","STK","DB",118043
"201809","STK","AV",120866
"201809","MKT","DB",153524
"201809","MKT","AV",177254
"201809","LMC","DB",1008611
"201809","LMC","AV",1134287
"201809","LMCSL","DB",2186596
"201809","LMCSL","AV",2265637
"201809","LWT","DB",3410066
"201809","LWT","AV",3283946
"201809","HHS","DB",136397
"201809","HHS","AV",136144
"201809","KTCT","DB",48764
"201809","KTCT","AV",52011
"201809","RTT","DB",13
"201809","RTT","AV",3
"201809","CFT","DB",252631
"201809","CFT","AV",232491
"201809","TMFT","DB",27982
"201809","TMFT","AV",27358
"201809","MFT","DB",675494
"201809","MFT","AV",522832
"201809","HARB","DB",1768
"201809","HARB","AV",2449
"201809","AIR","AV",1965612
"201809","AIR","DB",2012236
"201810","LWT","AV",3574733
"201810","HHS","DB",129590
"201810","LMCSL","AV",2343916
