"年月","关口","抵港或离港","人次"
"201309","STK","DB",127061
"201309","LWT","DB",3659747
"201309","HARB","AV",26535
"201309","LMC","DB",1003198
"201309","KTCT","AV",918
"201309","RTT","AV",10
"201309","MFT","DB",794909
"201309","TMFT","DB",0
"201309","HHS","DB",173390
"201309","MKT","AV",124195
"201309","AIR","DB",1609636
"201309","CFT","AV",303334
"201309","LMCSL","DB",1887523
"201309","LWT","AV",3535850
"201309","MFT","AV",627126
"201309","HHS","AV",176049
"201309","SZB","AV",1327190
"201309","HARB","DB",26292
"201309","RTT","DB",1
"201309","TMFT","AV",0
"201309","STK","AV",133213
"201310","LMC","AV",1193909
"201310","STK","AV",143076
"201310","LWT","AV",3680402
"201310","LMC","DB",1088535
"201310","KTCT","DB",47473
"201310","SZB","DB",1487718
"201310","LMCSL","AV",2093518
"201310","CFT","AV",351502
"201310","MKT","DB",104832
"201310","TMFT","DB",0
"201310","AIR","DB",1658490
"201310","HHS","DB",203863
"201310","RTT","DB",10
"201310","MFT","DB",713337
"201310","HHS","AV",190287
"201310","TMFT","AV",0
"201310","CFT","DB",383740
"201310","MFT","AV",654074
"201310","STK","DB",137745
"201310","HARB","DB",2784
"201310","AIR","AV",1828063
"201310","MKT","AV",157613
"201310","KTCT","AV",45751
"201310","LMCSL","DB",2023671
"201310","SZB","AV",1424483
"201310","LWT","DB",3876316
"201310","RTT","AV",1
"201310","HARB","AV",3143
"201311","LWT","AV",3581586
"201311","HHS","DB",186752
"201311","RTT","DB",2
"201311","TMFT","AV",0
"201311","HHS","AV",190212
"201311","MKT","DB",101178
"201311","HARB","AV",3319
"201311","MFT","AV",639942
"201311","TMFT","DB",0
"201311","HARB","DB",2099
"201311","CFT","AV",338949
"201311","STK","AV",136487
"201311","CFT","DB",391634
"201311","LMCSL","AV",2081147
"201311","KTCT","AV",33056
"201311","LMC","DB",1038676
"201311","LWT","DB",3776202
"201311","MKT","AV",152920
"201311","RTT","AV",7
"201311","AIR","AV",1733043
"201311","AIR","DB",1681962
"201311","SZB","DB",1429406
"201311","SZB","AV",1394064
"201311","LMC","AV",1212632
"201311","LMCSL","DB",2024868
"201311","KTCT","DB",33539
"201311","STK","DB",129606
"201311","MFT","DB",728241
"201312","STK","DB",137311
"201312","LMCSL","DB",2081199
"201312","TMFT","DB",0
"201312","AIR","DB",1850631
"201312","LMCSL","AV",2185894
"201312","MKT","DB",102099
